         382           4           3
Mon Jul 11 15:41:34 2005
classA_62.fits
    lambda (um)    Flux (Jy)   Sigma (Jy)    AOT ident.
      6.17053     0.560411     0.767786      0.00000
      6.17246     0.570047     0.881435      0.00000
      6.17439     0.614516     0.723362      0.00000
      6.17631     0.672082      1.03752      0.00000
      6.17825     0.701437      1.21370      0.00000
      6.18018     0.704561      1.04651      0.00000
      6.18211     0.693457      1.16070      0.00000
      6.18404     0.704622      1.12415      0.00000
      6.18597     0.729297      1.01591      0.00000
      6.18791     0.768574      1.63055      0.00000
      6.18984     0.787581      1.23424      0.00000
      6.19177     0.817669     0.778171      0.00000
      6.19371     0.842119     0.846030      0.00000
      6.19565     0.878887     0.877323      0.00000
      6.19758     0.888676      1.05747      0.00000
      6.19952     0.898523     0.954266      0.00000
      6.20146     0.897798      1.24272      0.00000
      6.20340     0.889751      1.29101      0.00000
      6.20533     0.864249     0.970860      0.00000
      6.20727     0.858687      1.02256      0.00000
      6.20921     0.906176     0.754360      0.00000
      6.21115     0.946088      1.38377      0.00000
      6.21310     0.957846      1.60104      0.00000
      6.21504     0.958542     0.799291      0.00000
      6.21698     0.970280     0.923712      0.00000
      6.21892      1.00000     0.847026      0.00000
      6.22087     0.994549     0.897091      0.00000
      6.22281     0.952478     0.870175      0.00000
      6.22476     0.900045     0.442628      0.00000
      6.22670     0.848991     0.612383      0.00000
      6.22865     0.827445     0.763885      0.00000
      6.23059     0.791592     0.741637      0.00000
      6.23254     0.764477     0.967364      0.00000
      6.23449     0.786067      1.17572      0.00000
      6.23644     0.802821      1.14815      0.00000
      6.23839     0.808278     0.996424      0.00000
      6.24034     0.753103     0.873169      0.00000
      6.24229     0.721684      1.18993      0.00000
      6.24424     0.720123     0.921092      0.00000
      6.24619     0.717432     0.908731      0.00000
      6.24814     0.712129     0.872380      0.00000
      6.25010     0.702891     0.727166      0.00000
      6.25205     0.726700     0.952321      0.00000
      6.25400     0.720126     0.796312      0.00000
      6.25596     0.717389     0.701007      0.00000
      6.25791     0.696252     0.917778      0.00000
      6.25987     0.723182     0.987694      0.00000
      6.26183     0.697837     0.988116      0.00000
      6.26378     0.647591     0.835119      0.00000
      6.26574     0.599028     0.432624      0.00000
      6.26770     0.598618     0.989762      0.00000
      6.26966     0.639531      1.03497      0.00000
      6.27162     0.639867     0.953731      0.00000
      6.27358     0.597366     0.923041      0.00000
      6.27554     0.551582     0.551078      0.00000
      6.27750     0.527502     0.698267      0.00000
      6.27946     0.525378     0.713125      0.00000
      6.28142     0.507979     0.840021      0.00000
      6.28339     0.525340     0.877225      0.00000
      6.28535     0.546441     0.757630      0.00000
      6.28732     0.559113     0.856667      0.00000
      6.28928     0.515586     0.948537      0.00000
      6.29125     0.472138     0.927953      0.00000
      6.29321     0.448909     0.947211      0.00000
      6.29518     0.452125      1.01194      0.00000
      6.29715     0.426325      1.01195      0.00000
      6.29912     0.380426     0.801228      0.00000
      6.30108     0.349661     0.796859      0.00000
      6.30305     0.368935     0.911949      0.00000
      6.30502     0.392853     0.690662      0.00000
