         239           4           3
Mon Jul 11 15:42:17 2005
classC_62.fits
    lambda (um)    Flux (Jy)   Sigma (Jy)    AOT ident.
      6.33502     0.396450     0.301759      6.00000
      6.33819     0.447707     0.486444      6.00000
      6.34136     0.499481     0.439842      6.00000
      6.34453     0.500519     0.287903      6.00000
      6.34770     0.540517     0.332231      6.00000
      6.35088     0.543689     0.454840      6.00000
      6.35406     0.511814     0.436168      6.00000
      6.35723     0.423160     0.258868      6.00000
      6.36041     0.324036     0.703328      6.00000
      6.36359     0.302085     0.712544      6.00000
      6.36678     0.244988     0.595634      6.00000
      6.36996     0.300322     0.677223      6.00000
      6.37315     0.293309     0.467512      6.00000
      6.37633     0.394847     0.346432      6.00000
      6.37952     0.456033     0.634721      6.00000
      6.38271     0.566332     0.628453      6.00000
      6.38591     0.533703     0.571469      6.00000
      6.38910     0.488216     0.506432      6.00000
      6.39229     0.382033     0.874954      6.00000
      6.39549     0.328877      1.37744      6.00000
      6.39869     0.280012     0.856936      6.00000
      6.40189     0.312614     0.440242      6.00000
      6.40509     0.361026     0.475350      6.00000
      6.40830     0.359540     0.502231      6.00000
      6.41150     0.351530     0.377088      6.00000
      6.41471     0.331218     0.524147      6.00000
      6.41791     0.366654     0.908407      6.00000
      6.42112     0.359425     0.625290      6.00000
      6.42434     0.351242     0.356642      6.00000
      6.42755     0.306325     0.323059      6.00000
      6.43076     0.276687     0.386964      6.00000
      6.43398     0.272995     0.516286      6.00000
      6.43720     0.251043     0.634177      6.00000
      6.44042     0.233851     0.723160      6.00000
      6.44364     0.208751     0.519697      6.00000
      6.44686     0.199159     0.666243      6.00000
      6.45008     0.187066     0.777266      6.00000
      6.45331     0.212065     0.663310      6.00000
      6.45654     0.233408     0.822631      6.00000
      6.45977     0.260906     0.572226      6.00000
      6.46300     0.237658     0.568557      6.00000
      6.46623     0.194842     0.595298      6.00000
      6.46946     0.164908     0.231690      6.00000
      6.47270     0.169971     0.136232      6.00000
      6.47594     0.188396     0.331084      6.00000
      6.47918     0.161931     0.393356      6.00000
      6.48242     0.155291     0.250295      6.00000
      6.48566     0.190703     0.352941      6.00000
      6.48890     0.247919     0.349259      6.00000
      6.49215     0.222083     0.312657      6.00000
      6.49539     0.170081     0.382633      6.00000
      6.49864     0.109146     0.214248      6.00000
      6.50189     0.112783     0.161828      6.00000
      6.50514     0.142320     0.176457      6.00000
      6.50840     0.156008     0.177112      6.00000
      6.51165     0.144562     0.126553      6.00000
      6.51491     0.123935     0.210879      6.00000
      6.51817     0.141420     0.294124      6.00000
      6.52143     0.150875     0.242735      6.00000
      6.52469     0.137215     0.271972      6.00000
      6.52795     0.128326     0.308262      6.00000
      6.53122    0.0928801     0.210058      6.00000
      6.53448    0.0900971     0.380135      6.00000
      6.53775    0.0640626     0.329994      6.00000
      6.54102    0.0772027     0.346989      6.00000
      6.54429     0.103072     0.280697      6.00000
      6.54757     0.153719     0.254988      6.00000
      6.55084     0.205561     0.163380      6.00000
      6.55412     0.184536     0.249821      6.00000
      6.55739     0.126497     0.205630      6.00000
      6.56067     0.135113     0.311412      6.00000
      6.56395     0.170557     0.271760      6.00000
      6.56724     0.159242     0.361324      6.00000
      6.57052    0.0766558     0.439826      6.00000
      6.57381   -0.0101002     0.470216      6.00000
      6.57710  -0.00554728     0.434939      6.00000
      6.58039    0.0438651     0.441721      6.00000
      6.58368    0.0825619     0.349840      6.00000
      6.58697    0.0598846     0.374015      6.00000
      6.59026    0.0272447     0.446613      6.00000
      6.59356    0.0180073     0.403782      6.00000
      6.59686    0.0323833     0.221068      6.00000
      6.60016    0.0675007     0.276582      6.00000
      6.60346    0.0759783     0.237546      6.00000
      6.60676    0.0789340     0.327987      6.00000
      6.61006    0.0221454     0.403343      6.00000
      6.61337    0.0348666     0.414029      6.00000
      6.61668    0.0764537     0.440088      6.00000
      6.61999     0.119816     0.503727      6.00000
      6.62330     0.144353     0.336799      6.00000
      6.62661     0.124503     0.194147      6.00000
      6.62992    0.0980263     0.520276      6.00000
      6.63324    0.0502967     0.453809      6.00000
      6.63656    0.0295977     0.320476      6.00000
      6.63988    0.0633525     0.254736      6.00000
      6.64320     0.164414     0.262175      6.00000
      6.64652     0.195452     0.398044      6.00000
