         891           4           3
Mon Jul 11 16:08:31 2005
classA_77_86.fits
    lambda (um)    Flux (Jy)   Sigma (Jy)    AOT ident.
      7.50410     0.669109     0.563175      0.00000
      7.50644     0.631432     0.488230      0.00000
      7.50879     0.624146     0.431605      0.00000
      7.51113     0.638521     0.428926      0.00000
      7.51348     0.647533     0.866855      0.00000
      7.51583     0.655384     0.701495      0.00000
      7.51818     0.648608     0.462187      0.00000
      7.52053     0.664573     0.564280      0.00000
      7.52288     0.667917     0.534183      0.00000
      7.52523     0.681025     0.413915      0.00000
      7.52758     0.684030     0.363305      0.00000
      7.52994     0.699891     0.283800      0.00000
      7.53229     0.703604     0.313036      0.00000
      7.53464     0.716622     0.395281      0.00000
      7.53700     0.729228     0.423778      0.00000
      7.53935     0.745710     0.394012      0.00000
      7.54171     0.757386     0.397596      0.00000
      7.54407     0.770291     0.385860      0.00000
      7.54643     0.778717     0.351205      0.00000
      7.54878     0.783599     0.286537      0.00000
      7.55114     0.786228     0.434964      0.00000
      7.55350     0.792366     0.652393      0.00000
      7.55586     0.793573     0.599499      0.00000
      7.55823     0.794865     0.532267      0.00000
      7.56059     0.795349     0.484989      0.00000
      7.56295     0.799479     0.468978      0.00000
      7.56532     0.808623     0.478018      0.00000
      7.56768     0.820044     0.339056      0.00000
      7.57005     0.827688     0.316625      0.00000
      7.57241     0.825496     0.330232      0.00000
      7.57478     0.827612     0.333085      0.00000
      7.57715     0.838294     0.323576      0.00000
      7.57951     0.849352     0.428581      0.00000
      7.58188     0.849041     0.446119      0.00000
      7.58425     0.851736     0.362401      0.00000
      7.58662     0.860965     0.310908      0.00000
      7.58899     0.877681     0.518428      0.00000
      7.59137     0.880468     0.470981      0.00000
      7.59374     0.890895     0.282912      0.00000
      7.59611     0.884620     0.299157      0.00000
      7.59849     0.874392     0.385421      0.00000
      7.60086     0.859791     0.423025      0.00000
      7.60324     0.869928     0.461667      0.00000
      7.60561     0.891632     0.322429      0.00000
      7.60799     0.915381     0.433884      0.00000
      7.61037     0.931594     0.530422      0.00000
      7.61275     0.949334     0.404181      0.00000
      7.61513     0.948973     0.400442      0.00000
      7.61751     0.951591     0.379971      0.00000
      7.61989     0.962274     0.483828      0.00000
      7.62227     0.981245     0.517733      0.00000
      7.62465     0.993060     0.372709      0.00000
      7.62703     0.997752     0.269510      0.00000
      7.62942     1.000000     0.345788      0.00000
      7.63180     0.990116     0.431604      0.00000
      7.63419     0.975714     0.298356      0.00000
      7.63657     0.964477     0.250650      0.00000
      7.63896     0.961849     0.390419      0.00000
      7.64135     0.948165     0.484509      0.00000
      7.64374     0.941050     0.366295      0.00000
      7.64613     0.942163     0.455826      0.00000
      7.64851     0.946692     0.491512      0.00000
      7.65091     0.933189     0.527458      0.00000
      7.65330     0.914780     0.470515      0.00000
      7.65569     0.906071     0.460923      0.00000
      7.65808     0.898285     0.337329      0.00000
      7.66048     0.884157     0.489720      0.00000
      7.66287     0.873688     0.460889      0.00000
      7.66526     0.862902     0.407344      0.00000
      7.66766     0.852653     0.349636      0.00000
      7.67006     0.829007     0.379620      0.00000
      7.67245     0.824178     0.452591      0.00000
      7.67485     0.817793     0.488658      0.00000
      7.67725     0.813728     0.411272      0.00000
      7.67965     0.791276     0.369007      0.00000
      7.68205     0.778600     0.361680      0.00000
      7.68445     0.764808     0.364645      0.00000
      7.68685     0.761137     0.406097      0.00000
      7.68926     0.747351     0.365240      0.00000
      7.69166     0.741390     0.440896      0.00000
      7.69406     0.731280     0.470403      0.00000
      7.69647     0.728485     0.461846      0.00000
      7.69887     0.717407     0.410702      0.00000
      7.70128     0.707602     0.274945      0.00000
      7.70369     0.689157     0.235312      0.00000
      7.70609     0.683922     0.361710      0.00000
      7.70850     0.686350     0.410657      0.00000
      7.71091     0.695928     0.349070      0.00000
      7.71332     0.700810     0.338937      0.00000
      7.71573     0.703542     0.289293      0.00000
      7.71815     0.703942     0.260234      0.00000
      7.72056     0.705579     0.304362      0.00000
      7.72297     0.701864     0.339783      0.00000
      7.72538     0.702837     0.410152      0.00000
      7.72780     0.705064     0.350850      0.00000
      7.73021     0.704222     0.303120      0.00000
      7.73263     0.700497     0.345752      0.00000
      7.73505     0.703558     0.398094      0.00000
      7.73746     0.714032     0.460011      0.00000
      7.73988     0.713190     0.374757      0.00000
      7.74230     0.702600     0.331318      0.00000
      7.74472     0.698585     0.308187      0.00000
      7.74714     0.712095     0.327742      0.00000
      7.74956     0.723336     0.380942      0.00000
      7.75199     0.725904     0.457705      0.00000
      7.75441     0.731070     0.470252      0.00000
      7.75683     0.740628     0.543707      0.00000
      7.75926     0.737113     0.444528      0.00000
      7.76168     0.726235     0.225732      0.00000
      7.76411     0.717907     0.343669      0.00000
      7.76653     0.722089     0.313210      0.00000
      7.76896     0.719323     0.161879      0.00000
      7.77139     0.703874     0.243494      0.00000
      7.77382     0.696724     0.291753      0.00000
      7.77625     0.707426     0.505038      0.00000
      7.77868     0.719531     0.518658      0.00000
      7.78111     0.725997     0.389482      0.00000
      7.78354     0.720436     0.292779      0.00000
      7.78597     0.718551     0.268272      0.00000
      7.78841     0.716844     0.317494      0.00000
      7.79084     0.719305     0.364806      0.00000
      7.79328     0.720767     0.329544      0.00000
      7.79571     0.716797     0.331481      0.00000
      7.79815     0.710838     0.335985      0.00000
      7.80059     0.713765     0.248538      0.00000
      7.80303     0.717186     0.272087      0.00000
      7.80546     0.711177     0.332500      0.00000
      7.80790     0.708514     0.304771      0.00000
      7.81034     0.711086     0.427989      0.00000
      7.81279     0.708853     0.403874      0.00000
      7.81523     0.690130     0.249966      0.00000
      7.81767     0.671337     0.296173      0.00000
      7.82011     0.680470     0.298338      0.00000
      7.82256     0.688778     0.394368      0.00000
      7.82500     0.679955     0.463280      0.00000
      7.82745     0.665488     0.341676      0.00000
      7.82989     0.666604     0.432980      0.00000
      7.83234     0.670564     0.376622      0.00000
      7.83479     0.659363     0.339036      0.00000
      7.83724     0.647476     0.264461      0.00000
      7.83969     0.655346     0.299539      0.00000
      7.84214     0.660862     0.312903      0.00000
      7.84459     0.655823     0.319783      0.00000
      7.84704     0.649276     0.361471      0.00000
      7.84949     0.643980     0.287778      0.00000
      7.85195     0.646208     0.401317      0.00000
      7.85440     0.635243     0.455268      0.00000
      7.85686     0.628617     0.435901      0.00000
      7.85931     0.624212     0.470563      0.00000
