         426           4           3
Mon Jul 11 15:35:17 2005
classB_11.fits
    lambda (um)    Flux (Jy)   Sigma (Jy)    AOT ident.
      11.0266     0.231169      2.89751      7.00000
      11.0293     0.250519      2.82233      7.00000
      11.0322     0.270509      2.33562      7.00000
      11.0349     0.282953      2.97095      7.00000
      11.0376     0.284641      3.15638      7.00000
      11.0402     0.277341      3.32732      7.00000
      11.0432     0.268428      2.63522      7.00000
      11.0459     0.267098      3.55556      7.00000
      11.0486     0.276844      2.55043      7.00000
      11.0515     0.292321      3.45213      7.00000
      11.0542     0.304341      3.50453      7.00000
      11.0569     0.305305      3.92944      7.00000
      11.0598     0.294211      4.26891      7.00000
      11.0625     0.276024      4.61413      7.00000
      11.0652     0.260952      3.26118      7.00000
      11.0679     0.257909      2.68601      7.00000
      11.0709     0.266887      2.94210      7.00000
      11.0735     0.279864      4.26243      7.00000
      11.0762     0.287131      3.46427      7.00000
      11.0792     0.283136      4.55916      7.00000
      11.0819     0.268604      4.26485      7.00000
      11.0846     0.251848      2.95573      7.00000
      11.0875     0.243171      2.62467      7.00000
      11.0902     0.247688      2.73444      7.00000
      11.0929     0.261479      4.04112      7.00000
      11.0958     0.275902      4.88679      7.00000
      11.0985     0.281916      3.98947      7.00000
      11.1012     0.274149      3.67232      7.00000
      11.1039     0.257599      4.56418      7.00000
      11.1069     0.242289      4.23783      7.00000
      11.1096     0.237312      3.84726      7.00000
      11.1122     0.245523      4.76914      7.00000
      11.1152     0.262893      4.70976      7.00000
      11.1179     0.279051      4.77846      7.00000
      11.1206     0.284596      4.92798      7.00000
      11.1236     0.277898      4.80525      7.00000
      11.1262     0.264895      3.19558      7.00000
      11.1289     0.254916      2.70527      7.00000
      11.1319     0.255113      2.26024      7.00000
      11.1346     0.267065      3.19501      7.00000
      11.1373     0.283273      3.74760      7.00000
      11.1403     0.296714      3.60091      7.00000
      11.1429     0.304390      3.14028      7.00000
      11.1459     0.306662      3.08249      7.00000
      11.1486     0.307884      2.17122      7.00000
      11.1513     0.315319      1.99717      7.00000
      11.1540     0.332926      2.86151      7.00000
      11.1570     0.356367      3.70607      7.00000
      11.1596     0.379712      3.54696      7.00000
      11.1626     0.397848      2.53328      7.00000
      11.1653     0.408575      2.56916      7.00000
