         640           4           3
Mon Jul 11 15:35:33 2005
classA_11.fits
    lambda (um)    Flux (Jy)   Sigma (Jy)    AOT ident.
      10.6384    0.0255784     0.788813      7.00000
      10.6402    0.0213687     0.740968      7.00000
      10.6420    0.0193577     0.764775      7.00000
      10.6437    0.0187573     0.806398      7.00000
      10.6455    0.0195347     0.607111      7.00000
      10.6473    0.0213151     0.708283      7.00000
      10.6491    0.0211427     0.694755      7.00000
      10.6508    0.0198899     0.649929      7.00000
      10.6526    0.0162541     0.591220      7.00000
      10.6544    0.0140767     0.551344      7.00000
      10.6562    0.0141166     0.569827      7.00000
      10.6580    0.0189446     0.650292      7.00000
      10.6597    0.0248941     0.495050      7.00000
      10.6615    0.0318156     0.421954      7.00000
      10.6633    0.0393953     0.427284      7.00000
      10.6651    0.0434752     0.340380      7.00000
      10.6668    0.0448100     0.325164      7.00000
      10.6686    0.0413836     0.333038      7.00000
      10.6704    0.0379086     0.389775      7.00000
      10.6722    0.0322789     0.513952      7.00000
      10.6739    0.0287588     0.571665      7.00000
      10.6757    0.0259198     0.482195      7.00000
      10.6775    0.0238947     0.553238      7.00000
      10.6793    0.0208982     0.477956      7.00000
      10.6811    0.0180615     0.364426      7.00000
      10.6828    0.0156412     0.380780      7.00000
      10.6846    0.0150496     0.370361      7.00000
      10.6864    0.0161230     0.507897      7.00000
      10.6882    0.0175291     0.464365      7.00000
      10.6900    0.0186204     0.414662      7.00000
      10.6918    0.0192766     0.352084      7.00000
      10.6935    0.0202521     0.263764      7.00000
      10.6953    0.0215023     0.303272      7.00000
      10.6971    0.0237867     0.453478      7.00000
      10.6989    0.0272972     0.402954      7.00000
      10.7007    0.0294818     0.467821      7.00000
      10.7025    0.0300579     0.510361      7.00000
      10.7042    0.0284940     0.424665      7.00000
      10.7060    0.0270102     0.505814      7.00000
      10.7078    0.0254480     0.371961      7.00000
      10.7096    0.0251900     0.371172      7.00000
      10.7114    0.0252048     0.401673      7.00000
      10.7132    0.0262357     0.284935      7.00000
      10.7149    0.0255777     0.319625      7.00000
      10.7167    0.0242488     0.297908      7.00000
      10.7185    0.0214667     0.289681      7.00000
      10.7203    0.0186612     0.375213      7.00000
      10.7221    0.0172316     0.331711      7.00000
      10.7239    0.0181296     0.317517      7.00000
      10.7257    0.0213653     0.461978      7.00000
      10.7275    0.0240122     0.397204      7.00000
      10.7292    0.0283001     0.581548      7.00000
      10.7310    0.0315090     0.632597      7.00000
      10.7328    0.0332839     0.574264      7.00000
      10.7346    0.0324415     0.583052      7.00000
      10.7364    0.0319730     0.367453      7.00000
      10.7382    0.0304921     0.318457      7.00000
      10.7400    0.0284636     0.218093      7.00000
      10.7418    0.0258500     0.307870      7.00000
      10.7436    0.0238935     0.294353      7.00000
      10.7453    0.0226946     0.409451      7.00000
      10.7471    0.0220008     0.386283      7.00000
      10.7489    0.0238251     0.319299      7.00000
      10.7507    0.0270011     0.332194      7.00000
      10.7525    0.0317554     0.235362      7.00000
      10.7543    0.0363925     0.362373      7.00000
      10.7561    0.0380877     0.294304      7.00000
      10.7579    0.0372881     0.397609      7.00000
      10.7597    0.0341454     0.469222      7.00000
      10.7615    0.0310655     0.517389      7.00000
      10.7633    0.0280393     0.556294      7.00000
