         568           4           3
Mon Jul 11 16:09:02 2005
classC_77_86.fits
    lambda (um)    Flux (Jy)   Sigma (Jy)    AOT ident.
      7.68003     0.294605     0.300022      7.00000
      7.68387     0.299681     0.230811      7.00000
      7.68772     0.310950     0.161942      7.00000
      7.69156     0.331493     0.169179      7.00000
      7.69541     0.368903     0.243736      7.00000
      7.69926     0.395146     0.269080      7.00000
      7.70311     0.393712     0.232025      7.00000
      7.70696     0.366574     0.191820      7.00000
      7.71081     0.341655     0.136509      7.00000
      7.71467     0.336285     0.107869      7.00000
      7.71853     0.337880     0.109989      7.00000
      7.72239     0.338967     0.119105      7.00000
      7.72625     0.343573     0.109216      7.00000
      7.73011     0.364800     0.164141      7.00000
      7.73398     0.352906     0.223217      7.00000
      7.73785     0.338364     0.225510      7.00000
      7.74172     0.335857     0.151155      7.00000
      7.74559     0.360883     0.160183      7.00000
      7.74946     0.369622     0.173352      7.00000
      7.75334     0.365174     0.168871      7.00000
      7.75722     0.370943     0.218364      7.00000
      7.76110     0.387090     0.109463      7.00000
      7.76498     0.396982    0.0872507      7.00000
      7.76886     0.404740     0.162797      7.00000
      7.77275     0.410832     0.230746      7.00000
      7.77663     0.415621     0.210766      7.00000
      7.78052     0.408827     0.126946      7.00000
      7.78442     0.399571     0.158830      7.00000
      7.78831     0.394310     0.138010      7.00000
      7.79220     0.395983     0.141006      7.00000
      7.79610     0.407915     0.245031      7.00000
      7.80000     0.419833     0.227802      7.00000
      7.80390     0.442863     0.147086      7.00000
      7.80780     0.454239     0.139981      7.00000
      7.81171     0.458700     0.195747      7.00000
      7.81561     0.457943     0.177360      7.00000
      7.81952     0.454241    0.0677405      7.00000
      7.82343     0.464384     0.173815      7.00000
      7.82735     0.467643     0.180499      7.00000
      7.83126     0.470923     0.117142      7.00000
      7.83518     0.473149     0.177187      7.00000
      7.83910     0.473613     0.347093      7.00000
      7.84302     0.481675     0.262204      7.00000
      7.84694     0.508043     0.238038      7.00000
      7.85086     0.529039     0.203984      7.00000
      7.85479     0.541603     0.254881      7.00000
      7.85872     0.539475     0.213490      7.00000
      7.86265     0.535142     0.145430      7.00000
      7.86658     0.551053     0.321895      7.00000
      7.87052     0.554000     0.247385      7.00000
      7.87445     0.579732     0.133156      7.00000
      7.87839     0.585757     0.180137      7.00000
      7.88233     0.569418     0.213261      7.00000
      7.88627     0.545580     0.216801      7.00000
      7.89022     0.542975     0.252308      7.00000
      7.89416     0.583538     0.117555      7.00000
      7.89811     0.633643     0.209677      7.00000
      7.90206     0.657659     0.136073      7.00000
      7.90601     0.660456     0.159102      7.00000
      7.90997     0.662430     0.199593      7.00000
      7.91392     0.673184     0.471801      7.00000
      7.91788     0.676228     0.324984      7.00000
      7.92184     0.679084     0.235845      7.00000
      7.92580     0.674086     0.250078      7.00000
      7.92977     0.689111     0.338986      7.00000
      7.93373     0.690824     0.506031      7.00000
      7.93770     0.677054     0.364350      7.00000
      7.94167     0.640027     0.364133      7.00000
      7.94564     0.614448     0.400478      7.00000
      7.94962     0.608244     0.449230      7.00000
      7.95359     0.616170     0.579728      7.00000
      7.95757     0.642617     0.371941      7.00000
      7.96155     0.678231     0.218536      7.00000
      7.96553     0.705603     0.232108      7.00000
      7.96951     0.715660     0.300360      7.00000
      7.97350     0.717354     0.373050      7.00000
      7.97749     0.737140     0.233093      7.00000
      7.98148     0.746840     0.220784      7.00000
      7.98547     0.752027     0.277450      7.00000
      7.98946     0.761793     0.293500      7.00000
      7.99346     0.772263     0.220421      7.00000
      7.99746     0.789089     0.198571      7.00000
      8.00146     0.782070     0.205057      7.00000
      8.00546     0.772800     0.194906      7.00000
