         478           4           3
Mon Jul 11 15:41:56 2005
classB_62.fits
    lambda (um)    Flux (Jy)   Sigma (Jy)    AOT ident.
      5.90086 -0.000987302      1.15375      6.00000
      5.90262   0.00660843     0.890312      6.00000
      5.90391    0.0124760     0.665593      6.00000
      5.90528    0.0132769     0.234072      6.00000
      5.90708   0.00881982     0.359292      6.00000
      5.90835   0.00623916     0.478549      6.00000
      5.90971  -0.00124409     0.709458      6.00000
      5.91153  0.000882700     0.846355      6.00000
      5.91277   0.00512431     0.846786      6.00000
      5.91406  -0.00174810      1.08117      6.00000
      5.91597    0.0124945      1.02697      6.00000
      5.91722    0.0171947     0.547620      6.00000
      5.91850   0.00583427      1.13064      6.00000
      5.92042   0.00455588      1.06163      6.00000
      5.92167    0.0165297     0.773617      6.00000
      5.92292    0.0106925      1.20845      6.00000
      5.92484  -0.00714164      1.31703      6.00000
      5.92612   0.00876312      1.37525      6.00000
      5.92737    0.0210898     0.422546      6.00000
      5.92929    0.0196715     0.236563      6.00000
      5.93057    0.0190341     0.430210      6.00000
      5.93182    0.0214450     0.595514      6.00000
      5.93364    0.0229983     0.851273      6.00000
      5.93500    0.0143266     0.794478      6.00000
      5.93627    0.0225724      1.07879      6.00000
      5.93808    0.0398611     0.768034      6.00000
      5.93945    0.0313950      1.14231      6.00000
      5.94074    0.0219512      1.21423      6.00000
      5.94252    0.0333605      1.08109      6.00000
      5.94381    0.0323294      1.29230      6.00000
      5.94517    0.0386883      1.25677      6.00000
      5.94698    0.0429332     0.703238      6.00000
      5.94826    0.0333051      1.32080      6.00000
      5.94986    0.0367758      1.11297      6.00000
      5.95144    0.0459071     0.867167      6.00000
      5.95269    0.0509554     0.912483      6.00000
      5.95431    0.0685551      1.17619      6.00000
      5.95590    0.0786429     0.720797      6.00000
      5.95716    0.0772075     0.744910      6.00000
      5.95876    0.0806784     0.901902      6.00000
      5.96036    0.0863189     0.765353      6.00000
      5.96161    0.0869421      1.25694      6.00000
      5.96321    0.0796706      1.18310      6.00000
      5.96480    0.0781157      1.01850      6.00000
      5.96608    0.0950779      1.28255      6.00000
      5.96789     0.113578     0.554554      6.00000
      5.96926     0.114927     0.271830      6.00000
      5.97055     0.114896     0.637374      6.00000
      5.97234     0.112253     0.989325      6.00000
      5.97363     0.112094      1.14378      6.00000
      5.97499     0.124538     0.915317      6.00000
      5.97681     0.130922     0.776845      6.00000
      5.97809     0.132670     0.648413      6.00000
      5.97969     0.137466      1.91108      6.00000
      5.98128     0.153170      1.32570      6.00000
      5.98254     0.144283      1.13935      6.00000
      5.98415     0.140028      2.05183      6.00000
      5.98575     0.166758      1.90944      6.00000
      5.98701     0.164437      1.73398      6.00000
