,mass,sigmamin,sigmaplus
7,0.10783484985179732,0.07857726574816362,0.06673122021687021
8,0.08997820432036453,0.06588498437183138,0.05750298780357972
9,0.05861152711255173,0.042606030119141436,0.041271574351220475
10,0.07622683577074998,0.05449275696347601,0.05053634914744659
11,0.06095843120822069,0.04516333352120433,0.04135546996970147
12,0.04251045257831626,0.030859091289271206,0.03046024030532657
13,0.006909505848158133,0.00491405844495965,0.005034093268666902
14,0.012267790343159769,0.007704856880316964,0.007751363093545707
15,0.053423290215214594,0.033260059912474875,0.03155368709383963
16,0.10728787828280062,0.041411510963211245,0.03821569401970684
17,0.04524894740249915,0.027409202588627782,0.02688630822637967
18,0.07028686884102271,0.04948727823270499,0.046863696474963426
19,0.2684554182251444,0.1638004404269433,0.11251699534983411
